Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na,RoofMatl_na,Exterior1st_na,Exterior2nd_na
855,0.0,0.75,0.5849878354106401,0.5134745073289422,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.6000000000000001,1.0,0.75,0.8,0.4444444444444445,0.375,0.375,0.5409836065573771,1.0,0.0,0.30000000000000004,0.7000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.5,0.6666666666666666,0.05421686746987952,0.3333333333333333,0.7360922659430121,0.15924657534246575,0.28854337152209497,1.0,0.5,1.0,1.0,0.6329924875139588,0.0,0.0,0.5917059552431096,0.3333333333333333,0.0,0.3333333333333333,0.5,0.375,0.0,0.3333333333333333,0.33333333333333337,1.0,0.3333333333333333,0.8,0.8,0.47663551401869153,0.3333333333333333,0.5,0.32016925246826516,0.6666666666666666,1.0,1.0,0.0,0.7641681901279708,0.0,0.0,0.65,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.0,0.6666666666666666,0.0,12.043553716032399,0,0,0,0,0,0
382,0.0,1.0,0.38858111692291897,0.33501243271721837,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.8181818181818182,0.6000000000000001,1.0,0.75,0.8,0.6666666666666665,0.5,0.0,0.01639344262295082,0.0,0.0,1.0,1.0,0.25,0.0,0.6666666666666666,1.0,1.0,0.75,1.0,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.5535102739726027,0.21162029459901802,1.0,1.0,1.0,1.0,0.5145738003672773,0.0,0.0,0.4810110516243413,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0.0,0.6666666666666666,0.24999999999999997,1.0,0.3333333333333333,0.8,0.8,0.0,0.6666666666666666,0.5,0.4033850493653032,0.6666666666666666,1.0,1.0,0.25204200700116686,0.22120658135283364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.0,1.0,1.0,12.142866569626381,0,0,0,0,0,0
817,0.0,0.75,0.38858111692291897,0.42537955363851054,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,0.0,0.36363636363636365,0.6000000000000001,1.0,0.75,0.8,0.4444444444444445,0.625,0.38235294117647056,0.8688524590163935,0.0,0.0,0.8,0.8,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.3333333333333333,0.08610914245216159,0.8333333333333333,0.0,0.22345890410958902,0.16497545008183306,1.0,0.75,1.0,1.0,0.4180108425067188,0.0,0.0,0.3907463512542253,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.8,0.8,0.4859813084112149,0.6666666666666666,0.25,0.19393511988716503,0.6666666666666666,1.0,1.0,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.0,0.6666666666666666,0.75,11.827736204810263,1,0,0,0,0,0
578,0.3529411764705882,0.75,0.5625482404461988,0.4313185024295281,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.6000000000000001,1.0,0.75,0.6000000000000001,0.4444444444444445,0.625,0.29411764705882354,0.6721311475409837,0.0,0.0,1.0,1.0,0.5,0.060625,0.3333333333333333,1.0,0.5,0.5,0.75,0.75,0.16666666666666666,0.058114812189936214,1.0,0.3738127544097693,0.12200342465753423,0.1905073649754501,1.0,1.0,1.0,1.0,0.5200605303654293,0.0,0.0,0.4861399131491724,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.0,0.3333333333333333,0.33333333333333337,1.0,0.6666666666666666,0.4,0.8,0.37383177570093457,0.6666666666666666,0.5,0.39774330042313116,0.6666666666666666,1.0,1.0,0.18669778296382727,0.12431444241316271,0.43478260869565216,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,0.0,0.6666666666666666,0.0,12.010665849187564,0,0,0,0,0,0
36,0.2352941176470588,0.75,0.6061444483007297,0.4568495411658957,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.9545454545454546,0.6000000000000001,1.0,0.75,1.0,0.7777777777777777,0.5,0.014705882352941176,0.03278688524590164,0.0,0.0,1.0,1.0,1.0,0.0825,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,0.8333333333333333,0.0,0.8333333333333333,0.0,0.47816780821917804,0.1828150572831424,1.0,1.0,1.0,1.0,0.46191585141820246,0.639225181598063,0.0,0.7052076551549962,0.0,0.0,1.0,0.5,0.5,0.0,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,0.8,1.0,0.018691588785046728,1.0,0.75,0.4873060648801128,0.6666666666666666,1.0,1.0,0.13185530921820302,0.05850091407678245,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.0,0.6666666666666666,0.75,12.641096555879882,0,0,0,0,0,0
302,0.2352941176470588,0.75,0.4238592228593645,0.49403929620375675,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6363636363636364,0.6000000000000001,1.0,0.75,1.0,0.7777777777777777,0.5,0.0661764705882353,0.14754098360655737,0.0,0.0,1.0,1.0,0.25,0.0,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,1.0,0.04978738483345146,0.8333333333333333,0.0,0.31977739726027393,0.16824877250409168,1.0,1.0,1.0,1.0,0.4871325232104091,0.6014527845036319,0.0,0.7052076551549962,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,0.6000000000000001,1.0,0.08411214953271028,1.0,0.5,0.48166431593794073,0.6666666666666666,1.0,1.0,0.24270711785297547,0.09140767824497258,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,0.25,0.6666666666666666,0.75,12.495003937382387,0,0,0,0,0,0
689,0.0,0.75,0.38858111692291897,0.35779863066095263,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9090909090909092,0.6000000000000001,1.0,0.75,0.8,0.7777777777777777,0.625,0.0,0.01639344262295082,0.0,0.0,0.4,0.30000000000000004,0.5,0.0,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,1.0,0.16743444365698087,0.8333333333333333,0.0,0.20291095890410957,0.23224222585924714,1.0,1.0,1.0,1.0,0.5474290808278997,0.0,0.0,0.5117233673203536,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0.0,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.8,0.0,0.6666666666666666,0.5,0.3998589562764457,0.6666666666666666,1.0,1.0,0.16336056009334887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8181818181818182,0.25,1.0,1.0,12.8790171187726,0,0,0,0,0,0
901,0.0,0.75,0.38858111692291897,0.33878151889687835,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.36363636363636365,0.6000000000000001,1.0,0.75,0.8,0.3333333333333333,0.625,0.2647058823529412,0.6065573770491803,0.0,0.0,0.6000000000000001,0.6000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.6666666666666666,0.05705173635719348,0.8333333333333333,0.0,0.22945205479452052,0.14042553191489363,1.0,0.5,1.0,1.0,0.3570379069555809,0.0,0.0,0.3337503366317498,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.3333333333333333,0.16666666666666666,1.0,0.0,0.2,0.4,0.2616822429906542,0.3333333333333333,0.25,0.48236953455571224,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.25,0.6666666666666666,0.75,11.608235644774552,1,0,0,0,0,0
1252,0.588235294117647,0.75,0.38858111692291897,0.1723454139216678,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,0.0,0.9545454545454546,0.6000000000000001,1.0,1.0,0.8,0.6666666666666665,0.5,0.022058823529411763,0.06557377049180328,0.0,0.0,1.0,0.4,1.0,0.10187500000000001,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.6014554794520548,0.22995090016366615,1.0,1.0,1.0,1.0,0.5436768780319841,0.0,0.0,0.5082158995645467,0.0,0.0,0.6666666666666666,0.0,0.25,0.0,0.6666666666666666,0.33333333333333337,1.0,0.3333333333333333,0.8,0.8,0.02803738317757009,0.6666666666666666,0.5,0.33709449929478136,0.6666666666666666,1.0,1.0,0.17269544924154023,0.06581352833638025,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1818181818181818,0.0,0.6666666666666666,0.75,12.053795210084596,1,0,0,0,0,0
861,0.17647058823529413,0.75,0.356374729510597,0.3466729360052856,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.7272727272727273,0.6000000000000001,1.0,0.75,0.2,0.6666666666666665,0.875,0.6544117647058824,0.16393442622950818,0.0,0.0,0.30000000000000004,0.1,0.25,0.0,0.6666666666666666,1.0,0.25,0.5,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.3904109589041096,0.14926350245499184,1.0,0.75,1.0,1.0,0.38013592369171967,0.24891041162227603,0.0,0.5134641454898374,0.0,0.0,0.3333333333333333,0.5,0.375,0.0,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.4,0.7663551401869159,0.3333333333333333,0.25,0.15232722143864597,0.6666666666666666,1.0,1.0,0.0,0.43875685557586835,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.4545454545454545,0.25,0.6666666666666666,0.75,12.154516158615772,0,0,0,0,0,0
